REF_DATE,GEO,DGUID,Type of fuel,UOM,UOM_ID,SCALAR_FACTOR,SCALAR_ID,VECTOR,COORDINATE,VALUE,STATUS,SYMBOL,TERMINATED,DECIMALS
1998-12,"Québec, Quebec",2011S0503421,Regular unleaded gasoline at self service filling stations,Cents per litre,57,units,0,v735095,6.2,51.8,,,,1
1999-01,"Québec, Quebec",2011S0503421,Regular unleaded gasoline at self service filling stations,Cents per litre,57,units,0,v735095,6.2,54.2,,,,1
1999-02,"Québec, Quebec",2011S0503421,Regular unleaded gasoline at self service filling stations,Cents per litre,57,units,0,v735095,6.2,53.7,,,,1
1999-03,"Québec, Quebec",2011S0503421,Regular unleaded gasoline at self service filling stations,Cents per litre,57,units,0,v735095,6.2,56.7,,,,1
1999-04,"Québec, Quebec",2011S0503421,Regular unleaded gasoline at self service filling stations,Cents per litre,57,units,0,v735095,6.2,60.7,,,,1
1999-05,"Québec, Quebec",2011S0503421,Regular unleaded gasoline at self service filling stations,Cents per litre,57,units,0,v735095,6.2,60.0,,,,1
1999-06,"Québec, Quebec",2011S0503421,Regular unleaded gasoline at self service filling stations,Cents per litre,57,units,0,v735095,6.2,57.2,,,,1
1999-07,"Québec, Quebec",2011S0503421,Regular unleaded gasoline at self service filling stations,Cents per litre,57,units,0,v735095,6.2,61.6,,,,1
1999-08,"Québec, Quebec",2011S0503421,Regular unleaded gasoline at self service filling stations,Cents per litre,57,units,0,v735095,6.2,68.5,,,,1
1999-09,"Québec, Quebec",2011S0503421,Regular unleaded gasoline at self service filling stations,Cents per litre,57,units,0,v735095,6.2,63.7,,,,1
1999-10,"Québec, Quebec",2011S0503421,Regular unleaded gasoline at self service filling stations,Cents per litre,57,units,0,v735095,6.2,68.9,,,,1
1999-11,"Québec, Quebec",2011S0503421,Regular unleaded gasoline at self service filling stations,Cents per litre,57,units,0,v735095,6.2,66.9,,,,1
1999-12,"Québec, Quebec",2011S0503421,Regular unleaded gasoline at self service filling stations,Cents per litre,57,units,0,v735095,6.2,65.4,,,,1
2000-01,"Québec, Quebec",2011S0503421,Regular unleaded gasoline at self service filling stations,Cents per litre,57,units,0,v735095,6.2,64.0,,,,1
2000-02,"Québec, Quebec",2011S0503421,Regular unleaded gasoline at self service filling stations,Cents per litre,57,units,0,v735095,6.2,69.4,,,,1
2000-03,"Québec, Quebec",2011S0503421,Regular unleaded gasoline at self service filling stations,Cents per litre,57,units,0,v735095,6.2,74.0,,,,1
2000-04,"Québec, Quebec",2011S0503421,Regular unleaded gasoline at self service filling stations,Cents per litre,57,units,0,v735095,6.2,67.6,,,,1
2000-05,"Québec, Quebec",2011S0503421,Regular unleaded gasoline at self service filling stations,Cents per litre,57,units,0,v735095,6.2,68.9,,,,1
2000-06,"Québec, Quebec",2011S0503421,Regular unleaded gasoline at self service filling stations,Cents per litre,57,units,0,v735095,6.2,75.5,,,,1
2000-07,"Québec, Quebec",2011S0503421,Regular unleaded gasoline at self service filling stations,Cents per litre,57,units,0,v735095,6.2,73.8,,,,1
2000-08,"Québec, Quebec",2011S0503421,Regular unleaded gasoline at self service filling stations,Cents per litre,57,units,0,v735095,6.2,71.0,,,,1
2000-09,"Québec, Quebec",2011S0503421,Regular unleaded gasoline at self service filling stations,Cents per litre,57,units,0,v735095,6.2,75.4,,,,1
2000-10,"Québec, Quebec",2011S0503421,Regular unleaded gasoline at self service filling stations,Cents per litre,57,units,0,v735095,6.2,73.7,,,,1
2000-11,"Québec, Quebec",2011S0503421,Regular unleaded gasoline at self service filling stations,Cents per litre,57,units,0,v735095,6.2,76.6,,,,1
2000-12,"Québec, Quebec",2011S0503421,Regular unleaded gasoline at self service filling stations,Cents per litre,57,units,0,v735095,6.2,73.4,,,,1
2001-01,"Québec, Quebec",2011S0503421,Regular unleaded gasoline at self service filling stations,Cents per litre,57,units,0,v735095,6.2,76.8,,,,1
2001-02,"Québec, Quebec",2011S0503421,Regular unleaded gasoline at self service filling stations,Cents per litre,57,units,0,v735095,6.2,77.0,,,,1
2001-03,"Québec, Quebec",2011S0503421,Regular unleaded gasoline at self service filling stations,Cents per litre,57,units,0,v735095,6.2,78.4,,,,1
2001-04,"Québec, Quebec",2011S0503421,Regular unleaded gasoline at self service filling stations,Cents per litre,57,units,0,v735095,6.2,81.9,,,,1
2001-05,"Québec, Quebec",2011S0503421,Regular unleaded gasoline at self service filling stations,Cents per litre,57,units,0,v735095,6.2,84.7,,,,1
2001-06,"Québec, Quebec",2011S0503421,Regular unleaded gasoline at self service filling stations,Cents per litre,57,units,0,v735095,6.2,78.7,,,,1
2001-07,"Québec, Quebec",2011S0503421,Regular unleaded gasoline at self service filling stations,Cents per litre,57,units,0,v735095,6.2,69.1,,,,1
